id,roomNum,roomType,beds,basePrice,status
1, 101, SINGLE, 1, 50.000000, OCCUPIED
 2, 102, SINGLE, 1, 50.000000, AVAILABLE
 3, 103, SINGLE, 1, 50.000000, AVAILABLE
 4, 104, SINGLE, 1, 50.000000, AVAILABLE
 5, 105, SINGLE, 1, 50.000000, AVAILABLE
 6, 201, SINGLE, 1, 50.000000, AVAILABLE
 7, 202, SINGLE, 1, 50.000000, AVAILABLE
 8, 203, SINGLE, 1, 50.000000, AVAILABLE
 9, 204, SINGLE, 1, 50.000000, AVAILABLE
 10, 205, SINGLE, 1, 50.000000, AVAILABLE
 11, 106, DOUBLE, 2, 50.000000, AVAILABLE
 12, 107, DOUBLE, 2, 50.000000, AVAILABLE
 13, 108, DOUBLE, 2, 50.000000, AVAILABLE
 14, 109, DOUBLE, 2, 50.000000, AVAILABLE
 15, 206, DOUBLE, 2, 50.000000, AVAILABLE
 16, 207, DOUBLE, 2, 50.000000, AVAILABLE
 17, 208, DOUBLE, 2, 50.000000, AVAILABLE
 18, 209, DOUBLE, 2, 50.000000, AVAILABLE
 19, 110, DELUXE, 1, 100.000000, AVAILABLE
 20, 111, DELUXE, 1, 100.000000, AVAILABLE
 21, 112, DELUXE, 1, 100.000000, AVAILABLE
 22, 210, DELUXE, 1, 100.000000, AVAILABLE
 23, 211, DELUXE, 1, 100.000000, AVAILABLE
 24, 212, DELUXE, 1, 100.000000, AVAILABLE
 25, 301, PENTHOUSE, 1, 400.000000, AVAILABLE
 26, 302, PENTHOUSE, 1, 400.000000, AVAILABLE
 
Room Occupancy Report for 2025-12-05
Occupancy Rate: 3.8461538461538463
